"colony_id","spp","species","year","area_cm2","surv"
56,"AD","Acropora cf. digitifera",2010,121.790989002579,1
56,"AD","Acropora cf. digitifera",2011,158.620296951373,1
56,"AD","Acropora cf. digitifera",2012,125.31576787384,1
56,"AD","Acropora cf. digitifera",2013,160.409119929584,1
56,"AD","Acropora cf. digitifera",2014,220.659553586148,0
57,"AD","Acropora cf. digitifera",2009,519.033172807613,1
57,"AD","Acropora cf. digitifera",2010,456.238879842353,1
57,"AD","Acropora cf. digitifera",2011,538.735821528905,1
57,"AD","Acropora cf. digitifera",2012,546.268501356604,1
57,"AD","Acropora cf. digitifera",2013,535.055298523828,1
57,"AD","Acropora cf. digitifera",2014,612.141085562642,0
58,"AD","Acropora cf. digitifera",2009,448.463033741947,1
58,"AD","Acropora cf. digitifera",2010,552.673376375591,0
59,"AD","Acropora cf. digitifera",2009,694.623924205546,1
59,"AD","Acropora cf. digitifera",2010,775.214491987759,1
59,"AD","Acropora cf. digitifera",2011,758.755565010586,1
59,"AD","Acropora cf. digitifera",2012,765.145583756345,1
59,"AD","Acropora cf. digitifera",2013,794.392549794825,1
59,"AD","Acropora cf. digitifera",2014,868.043855185168,0
60,"AD","Acropora cf. digitifera",2009,1251.73462821575,1
60,"AD","Acropora cf. digitifera",2010,1360.01154305607,1
60,"AD","Acropora cf. digitifera",2011,1103.65012666028,1
60,"AD","Acropora cf. digitifera",2012,1261.12657000355,1
60,"AD","Acropora cf. digitifera",2013,1135.68161990668,1
60,"AD","Acropora cf. digitifera",2014,1022.06424897584,0
61,"AD","Acropora cf. digitifera",2009,447.089881813528,1
61,"AD","Acropora cf. digitifera",2010,405.383261827689,1
61,"AD","Acropora cf. digitifera",2011,365.320431890331,1
61,"AD","Acropora cf. digitifera",2012,271.580746978463,1
61,"AD","Acropora cf. digitifera",2013,171.124763272182,1
61,"AD","Acropora cf. digitifera",2014,106.985465851646,0
62,"AD","Acropora cf. digitifera",2009,515.439736568952,1
62,"AD","Acropora cf. digitifera",2010,226.261821671692,1
62,"AD","Acropora cf. digitifera",2011,260.560574653308,0
63,"AD","Acropora cf. digitifera",2009,313.987435600112,1
63,"AD","Acropora cf. digitifera",2010,302.550978293092,1
63,"AD","Acropora cf. digitifera",2011,333.934138480377,1
63,"AD","Acropora cf. digitifera",2012,353.41667502602,1
63,"AD","Acropora cf. digitifera",2013,360.155574814493,1
63,"AD","Acropora cf. digitifera",2014,379.631994855731,0
64,"AD","Acropora cf. digitifera",2009,1686.95913121982,1
64,"AD","Acropora cf. digitifera",2010,1640.80626560843,1
64,"AD","Acropora cf. digitifera",2011,1722.43500938153,0
65,"AD","Acropora cf. digitifera",2010,19.6459513793616,1
65,"AD","Acropora cf. digitifera",2011,18.2193761662754,1
65,"AD","Acropora cf. digitifera",2012,35.1600933693425,1
65,"AD","Acropora cf. digitifera",2013,56.0943468736942,1
65,"AD","Acropora cf. digitifera",2014,82.0184598448365,0
66,"AD","Acropora cf. digitifera",2010,481.827268397466,1
66,"AD","Acropora cf. digitifera",2011,448.474184971278,1
66,"AD","Acropora cf. digitifera",2012,509.986900295171,1
66,"AD","Acropora cf. digitifera",2013,437.446764072658,1
66,"AD","Acropora cf. digitifera",2014,450.997234315982,0
67,"AD","Acropora cf. digitifera",2010,453.189705549903,1
67,"AD","Acropora cf. digitifera",2011,274.068161577675,0
68,"AH","Acropora hyacinthus",2009,1163.4800219431,1
68,"AH","Acropora hyacinthus",2010,727.153098112427,1
68,"AH","Acropora hyacinthus",2011,306.376106932236,1
68,"AH","Acropora hyacinthus",2012,51.5217376324227,0
69,"AH","Acropora hyacinthus",2009,3268.45903427177,1
69,"AH","Acropora hyacinthus",2010,3841.91806271249,0
70,"AH","Acropora hyacinthus",2009,2322.53817097785,1
70,"AH","Acropora hyacinthus",2010,1619.59229336887,1
70,"AH","Acropora hyacinthus",2011,2699.73647062461,1
70,"AH","Acropora hyacinthus",2012,2562.16914741879,1
70,"AH","Acropora hyacinthus",2013,2466.22793237771,1
70,"AH","Acropora hyacinthus",2014,1147.65383104168,0
71,"AH","Acropora hyacinthus",2009,1000.75679166616,1
71,"AH","Acropora hyacinthus",2010,1601.30001001178,1
71,"AH","Acropora hyacinthus",2011,1357.04997286019,0
72,"AH","Acropora hyacinthus",2009,3368.78999441297,1
72,"AH","Acropora hyacinthus",2010,4495.64733377773,1
72,"AH","Acropora hyacinthus",2011,4788.88064983817,1
72,"AH","Acropora hyacinthus",2012,833.871160865128,0
73,"AH","Acropora hyacinthus",2009,1923.36585738314,1
73,"AH","Acropora hyacinthus",2010,1601.65521094888,1
73,"AH","Acropora hyacinthus",2011,2557.59012105546,1
73,"AH","Acropora hyacinthus",2012,1851.01003396322,1
73,"AH","Acropora hyacinthus",2013,1667.44611333297,1
73,"AH","Acropora hyacinthus",2014,1707.62917513411,0
74,"AH","Acropora hyacinthus",2010,272.645381668994,1
74,"AH","Acropora hyacinthus",2011,312.466131951351,0
75,"AH","Acropora hyacinthus",2009,529.155693847724,1
75,"AH","Acropora hyacinthus",2010,620.278585599352,1
75,"AH","Acropora hyacinthus",2011,791.589291396587,1
75,"AH","Acropora hyacinthus",2012,42.8836472595859,0
76,"AH","Acropora hyacinthus",2009,2323.52001714696,1
76,"AH","Acropora hyacinthus",2010,3092.17101438949,1
76,"AH","Acropora hyacinthus",2011,665.393926122588,1
76,"AH","Acropora hyacinthus",2012,769.959662575332,1
76,"AH","Acropora hyacinthus",2013,182.520830673522,1
76,"AH","Acropora hyacinthus",2014,236.020781121086,0
77,"AH","Acropora hyacinthus",2009,323.640829836563,1
77,"AH","Acropora hyacinthus",2010,577.488550128771,1
77,"AH","Acropora hyacinthus",2011,982.285339069009,1
77,"AH","Acropora hyacinthus",2012,217.859654504848,1
77,"AH","Acropora hyacinthus",2013,170.726429651727,1
77,"AH","Acropora hyacinthus",2014,100.859283646434,0
78,"AH","Acropora hyacinthus",2009,1236.7056534367,1
78,"AH","Acropora hyacinthus",2010,2044.49189593269,1
78,"AH","Acropora hyacinthus",2011,3192.84620835485,1
78,"AH","Acropora hyacinthus",2012,362.893500014397,0
79,"AH","Acropora hyacinthus",2009,189.939162739204,1
79,"AH","Acropora hyacinthus",2010,65.4772014724083,1
79,"AH","Acropora hyacinthus",2011,157.496740959095,1
79,"AH","Acropora hyacinthus",2012,231.616395180179,0
80,"AH","Acropora hyacinthus",2009,6252.67856585107,1
80,"AH","Acropora hyacinthus",2010,8678.2943484424,1
80,"AH","Acropora hyacinthus",2011,10068.7578073629,0
81,"AH","Acropora hyacinthus",2009,10129.7004192407,1
81,"AH","Acropora hyacinthus",2010,9037.68786385172,0
82,"AH","Acropora hyacinthus",2009,452.221438066232,1
82,"AH","Acropora hyacinthus",2010,304.818475523925,1
82,"AH","Acropora hyacinthus",2011,61.6912188405228,0
83,"AH","Acropora hyacinthus",2009,1844.57415090868,1
83,"AH","Acropora hyacinthus",2010,2309.3521429526,1
83,"AH","Acropora hyacinthus",2011,2487.7020441226,0
84,"AH","Acropora hyacinthus",2009,935.512172360355,1
84,"AH","Acropora hyacinthus",2010,424.506114081972,1
84,"AH","Acropora hyacinthus",2011,486.367033319716,1
84,"AH","Acropora hyacinthus",2012,262.740640656044,0
85,"AH","Acropora hyacinthus",2009,1858.55114457056,0
86,"AH","Acropora hyacinthus",2009,2798.5107940356,1
86,"AH","Acropora hyacinthus",2010,3213.61789804069,1
86,"AH","Acropora hyacinthus",2011,3377.9602208269,1
86,"AH","Acropora hyacinthus",2012,4059.31657868219,1
86,"AH","Acropora hyacinthus",2013,3051.60488812955,0
87,"AH","Acropora hyacinthus",2009,437.546547913146,0
88,"AH","Acropora hyacinthus",2009,1329.29594066614,1
88,"AH","Acropora hyacinthus",2010,1335.01333296214,0
89,"AH","Acropora hyacinthus",2009,355.240830759111,0
90,"AH","Acropora hyacinthus",2009,2630.11265535588,1
90,"AH","Acropora hyacinthus",2010,3288.20993320519,1
90,"AH","Acropora hyacinthus",2011,4056.40918667142,1
90,"AH","Acropora hyacinthus",2012,578.825698724625,0
91,"AH","Acropora hyacinthus",2009,871.743740033706,1
91,"AH","Acropora hyacinthus",2010,1664.89731746593,1
91,"AH","Acropora hyacinthus",2011,2130.80903813135,1
91,"AH","Acropora hyacinthus",2012,2544.13273766884,1
91,"AH","Acropora hyacinthus",2013,2581.57947612291,1
91,"AH","Acropora hyacinthus",2014,479.240557942846,0
92,"AH","Acropora hyacinthus",2009,3155.40463648593,1
92,"AH","Acropora hyacinthus",2010,3764.43905721971,1
92,"AH","Acropora hyacinthus",2011,3781.2466997571,0
93,"AH","Acropora hyacinthus",2009,1005.16933588462,1
93,"AH","Acropora hyacinthus",2010,2047.0594752876,1
93,"AH","Acropora hyacinthus",2011,3049.81913391422,1
93,"AH","Acropora hyacinthus",2012,1624.50231490227,0
94,"AH","Acropora hyacinthus",2009,2036.11595256924,1
94,"AH","Acropora hyacinthus",2010,2890.56868764531,1
94,"AH","Acropora hyacinthus",2011,3473.83518837561,1
94,"AH","Acropora hyacinthus",2012,3279.528713445,1
94,"AH","Acropora hyacinthus",2013,2450.52566468568,1
94,"AH","Acropora hyacinthus",2014,206.954455720821,0
95,"AH","Acropora hyacinthus",2009,1881.41517454854,1
95,"AH","Acropora hyacinthus",2010,3203.91961146994,1
95,"AH","Acropora hyacinthus",2011,1823.48705991939,1
95,"AH","Acropora hyacinthus",2012,1319.89112578066,1
95,"AH","Acropora hyacinthus",2013,1636.13247897825,1
95,"AH","Acropora hyacinthus",2014,2169.85083956938,0
96,"AH","Acropora hyacinthus",2009,2356.74463449199,1
96,"AH","Acropora hyacinthus",2010,414.532825569471,1
96,"AH","Acropora hyacinthus",2011,53.5289645518073,0
97,"AH","Acropora hyacinthus",2009,2739.22464298336,1
97,"AH","Acropora hyacinthus",2010,3898.89212423307,1
97,"AH","Acropora hyacinthus",2011,2553.41474954508,0
98,"AH","Acropora hyacinthus",2010,2624.43392832239,1
98,"AH","Acropora hyacinthus",2011,2441.17055883912,1
98,"AH","Acropora hyacinthus",2012,2272.6634156789,1
98,"AH","Acropora hyacinthus",2013,2418.31817881795,1
98,"AH","Acropora hyacinthus",2014,2481.6676507539,0
99,"AH","Acropora hyacinthus",2010,58.6092157728121,1
99,"AH","Acropora hyacinthus",2011,169.157986097638,0
100,"AH","Acropora hyacinthus",2011,1581.66530359476,0
101,"AI","Acropora intermedia",2009,5242.06175647305,1
101,"AI","Acropora intermedia",2010,5474.99590780546,1
101,"AI","Acropora intermedia",2011,3848.46059516251,1
101,"AI","Acropora intermedia",2012,515.011369270474,1
101,"AI","Acropora intermedia",2013,120.517819181507,1
101,"AI","Acropora intermedia",2014,34.4801179292597,0
102,"AI","Acropora intermedia",2009,255.916949219925,0
103,"AI","Acropora intermedia",2009,202.93359375,0
104,"AI","Acropora intermedia",2009,49.1972372720061,1
104,"AI","Acropora intermedia",2010,58.1398208114453,1
104,"AI","Acropora intermedia",2011,94.1102518811773,0
105,"AI","Acropora intermedia",2009,369.447170122633,0
106,"AI","Acropora intermedia",2009,1314.00521532946,1
106,"AI","Acropora intermedia",2010,1246.00762066046,1
106,"AI","Acropora intermedia",2011,870.793574547761,1
106,"AI","Acropora intermedia",2012,1035.72411736057,0
107,"AI","Acropora intermedia",2009,51.8315091857086,0
108,"AI","Acropora intermedia",2009,578.84644901408,1
108,"AI","Acropora intermedia",2010,729.86907700236,1
108,"AI","Acropora intermedia",2011,740.535413203685,1
108,"AI","Acropora intermedia",2012,270.119289633227,0
109,"AI","Acropora intermedia",2009,1268.00236753893,1
109,"AI","Acropora intermedia",2010,1980.80806262935,1
109,"AI","Acropora intermedia",2012,742.845827267975,1
109,"AI","Acropora intermedia",2013,174.794859199434,0
110,"AI","Acropora intermedia",2009,3050.52160168598,1
110,"AI","Acropora intermedia",2011,520.256515171018,1
110,"AI","Acropora intermedia",2012,412.469512382742,1
110,"AI","Acropora intermedia",2013,392.746146223543,1
110,"AI","Acropora intermedia",2014,74.0263759684665,0
111,"AI","Acropora intermedia",2009,3281.55435233123,1
111,"AI","Acropora intermedia",2010,4178.39584182347,1
111,"AI","Acropora intermedia",2011,2396.15354054492,1
111,"AI","Acropora intermedia",2012,5976.24528144924,1
111,"AI","Acropora intermedia",2013,5074.03534412479,1
