"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
6,"AC","Acropora cytherea",2011,832.732262537727,3246,1,"mariana","Isopora","Cuneiform",6.885812627,"certain","Overtop","won"
6,"AC","Acropora cytherea",2011,832.732262537727,3249,4,"mariana","Montipora","Encrusting",4.790130523,"certain","Overtop","won"
7,"AC","Acropora cytherea",2009,211.232706634816,79,3,"mariana","Poritid","Encrusting",1.750480422,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2009,211.232706634816,78,2,"mariana","Isopora","Encrusting",3.192052534,"certain","Overtop","won"
7,"AC","Acropora cytherea",2009,211.232706634816,80,4,"mariana","Soft coral","Cuneiform",4.839563519,"certain","Overtop","won"
7,"AC","Acropora cytherea",2009,211.232706634816,77,1,"mariana","Soft coral","Cuneiform",2.145196595,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2010,672.322509469943,254,1,"mariana","Acropora","Branching",27.00835625,"certain","Overtop","lost"
7,"AC","Acropora cytherea",2010,672.322509469943,255,2,"mariana","Soft coral","Cuneiform",12.88684427,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2010,672.322509469943,257,4,"mariana","Soft coral","Cuneiform",0.977445274,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2010,672.322509469943,256,3,"mariana","Soft coral","Cuneiform",2.443613184,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2011,848.363524614938,421,4,"mariana","Montipora","Encrusting",5.068872661,"certain","Overtop","won"
7,"AC","Acropora cytherea",2011,848.363524614938,419,2,"mariana","Montipora","Encrusting",17.77778527,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2011,848.363524614938,420,3,"mariana","Acropora","Corymbose",11.90083146,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2011,848.363524614938,422,5,"mariana","Soft coral","Cuneiform",17.70432335,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2011,848.363524614938,418,1,"mariana","Soft coral","Cuneiform",21.52434333,"certain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,428,6,"mariana","Favid","Encrusting",4.894131216,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,424,2,"mariana","Soft coral","Cuneiform",20.27568646,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,426,4,"mariana","Montipora","Encrusting",12.13251016,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,427,5,"mariana","Favid","Massive",3.578062317,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,423,1,"mariana","Acropora","Corymbose",6.251327267,"certain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,425,3,"mariana","Acropora","Corymbose",6.127945808,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2012,990.256146500937,429,7,"mariana","Soft coral","Cuneiform",13.73646913,"certain","Overtop","won"
7,"AC","Acropora cytherea",2013,2180.09690215005,4477,5,"mariana","Soft coral","Cuneiform",NA,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2013,2180.09690215005,4479,7,"mariana","Montipora","Encrusting",NA,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2013,2180.09690215005,4476,4,"mariana","Acropora","Corymbose",NA,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2013,2180.09690215005,4474,2,"mariana","Acropora","Branching",NA,"certain","Overtop","lost"
7,"AC","Acropora cytherea",2013,2180.09690215005,4478,6,"mariana","Acropora","Tabular",NA,"uncertain","Overtop","won"
7,"AC","Acropora cytherea",2013,2180.09690215005,4475,3,"mariana","Isopora","Cuneiform",NA,"uncertain","Overtop","won"
