"colony_id","spp","species","year","area_cm2","area_cm2_next"
63,"AD","Acropora cf. digitifera",2012,353.41667502602,360.155574814493
63,"AD","Acropora cf. digitifera",2013,360.155574814493,379.631994855731
64,"AD","Acropora cf. digitifera",2009,1686.95913121982,1640.80626560843
64,"AD","Acropora cf. digitifera",2010,1640.80626560843,1722.43500938153
65,"AD","Acropora cf. digitifera",2010,19.6459513793616,18.2193761662754
65,"AD","Acropora cf. digitifera",2011,18.2193761662754,35.1600933693425
65,"AD","Acropora cf. digitifera",2012,35.1600933693425,56.0943468736942
65,"AD","Acropora cf. digitifera",2013,56.0943468736942,82.0184598448365
66,"AD","Acropora cf. digitifera",2010,481.827268397466,448.474184971278
66,"AD","Acropora cf. digitifera",2011,448.474184971278,509.986900295171
66,"AD","Acropora cf. digitifera",2012,509.986900295171,437.446764072658
66,"AD","Acropora cf. digitifera",2013,437.446764072658,450.997234315982
67,"AD","Acropora cf. digitifera",2010,453.189705549903,274.068161577675
68,"AH","Acropora hyacinthus",2009,1163.4800219431,727.153098112427
68,"AH","Acropora hyacinthus",2010,727.153098112427,306.376106932236
68,"AH","Acropora hyacinthus",2011,306.376106932236,51.5217376324227
69,"AH","Acropora hyacinthus",2009,3268.45903427177,3841.91806271249
70,"AH","Acropora hyacinthus",2009,2322.53817097785,1619.59229336887
70,"AH","Acropora hyacinthus",2010,1619.59229336887,2699.73647062461
70,"AH","Acropora hyacinthus",2011,2699.73647062461,2562.16914741879
70,"AH","Acropora hyacinthus",2012,2562.16914741879,2466.22793237771
70,"AH","Acropora hyacinthus",2013,2466.22793237771,1147.65383104168
71,"AH","Acropora hyacinthus",2009,1000.75679166616,1601.30001001178
71,"AH","Acropora hyacinthus",2010,1601.30001001178,1357.04997286019
72,"AH","Acropora hyacinthus",2009,3368.78999441297,4495.64733377773
72,"AH","Acropora hyacinthus",2010,4495.64733377773,4788.88064983817
72,"AH","Acropora hyacinthus",2011,4788.88064983817,833.871160865128
73,"AH","Acropora hyacinthus",2009,1923.36585738314,1601.65521094888
73,"AH","Acropora hyacinthus",2010,1601.65521094888,2557.59012105546
73,"AH","Acropora hyacinthus",2011,2557.59012105546,1851.01003396322
73,"AH","Acropora hyacinthus",2012,1851.01003396322,1667.44611333297
73,"AH","Acropora hyacinthus",2013,1667.44611333297,1707.62917513411
74,"AH","Acropora hyacinthus",2010,272.645381668994,312.466131951351
75,"AH","Acropora hyacinthus",2009,529.155693847724,620.278585599352
75,"AH","Acropora hyacinthus",2010,620.278585599352,791.589291396587
75,"AH","Acropora hyacinthus",2011,791.589291396587,42.8836472595859
76,"AH","Acropora hyacinthus",2009,2323.52001714696,3092.17101438949
76,"AH","Acropora hyacinthus",2010,3092.17101438949,665.393926122588
76,"AH","Acropora hyacinthus",2011,665.393926122588,769.959662575332
76,"AH","Acropora hyacinthus",2012,769.959662575332,182.520830673522
76,"AH","Acropora hyacinthus",2013,182.520830673522,236.020781121086
77,"AH","Acropora hyacinthus",2009,323.640829836563,577.488550128771
77,"AH","Acropora hyacinthus",2010,577.488550128771,982.285339069009
77,"AH","Acropora hyacinthus",2011,982.285339069009,217.859654504848
77,"AH","Acropora hyacinthus",2012,217.859654504848,170.726429651727
77,"AH","Acropora hyacinthus",2013,170.726429651727,100.859283646434
78,"AH","Acropora hyacinthus",2009,1236.7056534367,2044.49189593269
78,"AH","Acropora hyacinthus",2010,2044.49189593269,3192.84620835485
78,"AH","Acropora hyacinthus",2011,3192.84620835485,362.893500014397
79,"AH","Acropora hyacinthus",2009,189.939162739204,65.4772014724083
79,"AH","Acropora hyacinthus",2010,65.4772014724083,157.496740959095
79,"AH","Acropora hyacinthus",2011,157.496740959095,231.616395180179
80,"AH","Acropora hyacinthus",2009,6252.67856585107,8678.2943484424
80,"AH","Acropora hyacinthus",2010,8678.2943484424,10068.7578073629
81,"AH","Acropora hyacinthus",2009,10129.7004192407,9037.68786385172
82,"AH","Acropora hyacinthus",2009,452.221438066232,304.818475523925
82,"AH","Acropora hyacinthus",2010,304.818475523925,61.6912188405228
83,"AH","Acropora hyacinthus",2009,1844.57415090868,2309.3521429526
83,"AH","Acropora hyacinthus",2010,2309.3521429526,2487.7020441226
84,"AH","Acropora hyacinthus",2009,935.512172360355,424.506114081972
84,"AH","Acropora hyacinthus",2010,424.506114081972,486.367033319716
84,"AH","Acropora hyacinthus",2011,486.367033319716,262.740640656044
86,"AH","Acropora hyacinthus",2009,2798.5107940356,3213.61789804069
